题名,作者,年份,会议或期刊,DOI 或 URL,文献类型,被引次数,与本问题相关的要点
A Comprehensive Review of Security-constrained Unit Commitment,Nan Yang; Zhenqiang Dong; Lei Wu; Lei Zhang; Xun Shen; Daojun Chen; Binxin Zhu; Yikui Liu,2022,Journal of Modern Power Systems and Clean Energy,https://doi.org/10.35833/mpce.2021.000255,journal_article,157,综述标准安全约束机组组合的数学模型、求解算法及定制模型，并归纳电力市场发电计划中的应用范围与研究趋势。
"Security-Constrained Unit Commitment for Electricity Market: Modeling, Solution Methods, and Future Challenges",Yonghong Chen; Feng Pan; Feng Qiu; Álinson Santos Xavier; Tongxin Zheng; Muhammad Marwali; Bernard Knueven; Yongpei Guan; Peter B. Luh; Lei Wu; Bing Yan; Mikhail A. Bragin; Haiwang Zhong; Anthony Giacomoni; Ross Baldick; B. Gisin; Qun Gu; Russ Philbrick; Fangxing Li,2022,IEEE Transactions on Power Systems,https://doi.org/10.1109/tpwrs.2022.3213001,journal_article,89,IEEE任务组综述电力市场出清中安全约束机组组合的业务模型、数学形式与求解技术，并讨论未来市场出清的挑战与基准模型。
"A Review on the Unit Commitment Problem: Approaches, Techniques, and Resolution Methods",Luis Montero; Antonio Bello; Javier Reneses,2022,Energies,https://doi.org/10.3390/en15041296,journal_article,84,综述机组组合的建模途径、求解技术与混合整数线性规划表述的演化，强调高比例可再生能源与储能对机组组合的影响。
Unit Commitment—A Bibliographical Survey,Narayana Prasad Padhy,2004,IEEE Transactions on Power Systems,https://doi.org/10.1109/tpwrs.2003.821611,journal_article,1001,对约三十五年机组组合研究作文献调查，给出数学表述与研究背景，作为机组组合对象定义的常用方法文献。
AC Optimal Power Flow in Power Systems With Renewable Energy Integration: A Review of Formulations and Case Studies,Zongjie Wang; Abdollah Younesi; M. Vivienne Liu; Ge Guo; C. Lindsay Anderson,2023,IEEE Access,https://doi.org/10.1109/access.2023.3314330,journal_article,40,给出含可变可再生能源的交流最优潮流通用表述，比较目标、控制变量与网络约束，并讨论配电侧建模难点。
Recent Developments in Security-Constrained AC Optimal Power Flow: Overview of Challenge 1 in the ARPA-E Grid Optimization Competition,Ignacio Aravena; Daniel K. Molzahn; Shixuan Zhang; Cosmin G. Petra; Frank E. Curtis; Shenyinying Tu; Andreas Wächter; Ermin Wei; Elizabeth Wong; Amin Gholami; Kaizhao Sun; Xu Andy Sun; Stephen T. Elbert; Jesse Holzer; Arun Veeramany,2023,Operations Research,https://doi.org/10.1287/opre.2022.0315,journal_article,27,概述ARPA-E电网优化竞赛第一项挑战中的安全约束交流最优潮流混合整数非线性表述，并比较参赛算法相对线性近似的表现。
Grid-connected battery energy storage system: a review on application and integration,Chunyang Zhao; Peter Bach Andersen; Chresten Træholt; Seyedmostafa Hashemi,2023,Renewable and Sustainable Energy Reviews,https://doi.org/10.1016/j.rser.2023.113400,journal_article,276,综述并网电池储能在调频、电压支撑与能量套利等电网服务中的应用，并提出长期运行工况的定量描述框架。
"A review of battery energy storage systems for ancillary services in distribution grids: Current status, challenges and future directions",K. Prakash; Muhammad Ali; Md. Nazrul Islam Siddique; Aneesh A. Chand; Nallapaneni Manoj Kumar; Daoyi Dong; H. R. Pota,2022,Frontiers in Energy Research,https://doi.org/10.3389/fenrg.2022.971704,journal_article,127,综述配电侧电池储能为电压、频率、黑启动等短期辅助服务及削峰、阻塞缓解等长期服务提供支撑的现状与障碍。
Advances in Hosting Capacity Assessment and Enhancement Techniques for Distributed Energy Resources: A Review of Dynamic Operating Envelopes in the Australian Grid,Naveed Ali Brohi; Gokul Sidarth Thirunavukkarasu; Mehdi Seyedmahmoudian; Kafeel Ahmed; Alex Stojcevski; Saad Mekhilef,2025,Energies,https://doi.org/10.3390/en18112922,journal_article,7,综述分布式能源接入容量评估与提升方法，并讨论澳大利亚电网中动态运行包络按运行条件分配进出口限额的做法。
Coordination between transmission and distribution system operators in the electricity sector: A conceptual framework,Helena Gerard; Enrique Israel Rivero Puente; Daan Six,2017,Utilities Policy,https://doi.org/10.1016/j.jup.2017.09.011,journal_article,295,提出输电与配电系统运营商在频率控制、阻塞管理与电压控制上的协调概念框架，作为后续市场与运行协调研究的对象定义。
Review of Methodologies for the Assessment of Feasible Operating Regions at the TSO–DSO Interface,Georgios K. Papazoglou; Pandelis N. Biskas,2022,Energies,https://doi.org/10.3390/en15145147,journal_article,36,将输配电接口可行运行域估计方法分为几何、随机抽样与优化三类，并比较灵活性资源类型、时序依赖与货币化处理。
Market-Based TSO–DSO Coordination: A Comprehensive Theoretical Market Framework and Lessons from Real-World Implementations,Matteo Troncia; José Pablo Chaves Ávila; Carlos Damas Silva; Helena Gerard; Gwen Willeghems,2023,Energies,https://doi.org/10.3390/en16196939,journal_article,21,提出用于设计输配电协调机制的理论市场框架，并对照13个欧洲示范项目总结新型系统服务市场的实施障碍与政策含义。
Assessment of TSO-DSO Coordination to Enhance Flexible Grid Operation,Younes Zahraoui; Basanta Raj Pokhrel; Irina Oļeiņikova; Sébastien Gros,2025,Current Sustainable/Renewable Energy Reports,https://doi.org/10.1007/s40518-025-00269-6,journal_article,9,评估输电主导、配电主导与混合三类协调模型及六种灵活性采购市场方案，并指出平衡与阻塞管理常被分置、协同不足。
Frequency Nadir Constrained Unit Commitment for High Renewable Penetration Island Power Systems,Xuebo Liu; Xin Fang; Ningchao Gao; Haoyu Yuan; Andy Hoke; Hongyu Wu; Jin Tan,2024,IEEE Open Access Journal of Power and Energy,https://doi.org/10.1109/oajpe.2024.3370504,journal_article,25,在高光伏渗透的海岛系统中把频率最低点或最小惯量写入机组组合，年尺度仿真显示最低点约束可改善频率、发电成本略升。
Data-driven Convexification for Frequency Nadir Constraint of Unit Commitment,Yukang Shen; Wenchuan Wu; Bin Wang; Yue Yang; Yi Lin,2023,Journal of Modern Power Systems and Clean Energy,https://doi.org/10.35833/mpce.2021.000734,journal_article,37,用支持向量机类方法将非凸频率最低点约束凸化，得到可求解的混合整数二次规划频率约束机组组合，案例显示保守性低于既有方法。
Optimal Dispatch for Battery Energy Storage Station in Distribution Network Considering Voltage Distribution Improvement and Peak Load Shifting,Xiangjun Li; Rui Ma; Gan Wei; Shijie Yan,2022,Journal of Modern Power Systems and Clean Energy,https://doi.org/10.35833/mpce.2020.000183,journal_article,115,以配电电池储能电站四象限调节改善电压分布并削峰填谷，修正IEEE 33节点算例中最大电压偏差由14.06%降至4.54%，峰谷差由8.83 MW降至4.23 MW。
"Grid Impact Aware TSO-DSO Market Models for Flexibility Procurement: Coordination, Pricing Efficiency, and Information Sharing",Luciana Marques; Anibal Sanjab; Yuting Mou; Hélène Le Cadre; Kris Kessels,2022,IEEE Transactions on Power Systems,https://doi.org/10.1109/tpwrs.2022.3185460,journal_article,62,比较五种计及电网影响的输配电灵活性采购市场，证明共同市场效率更高；接口潮流最优定价后分层市场可逼近共同市场，并用分解避免完整网络信息共享。
