题名,作者,年份,会议或期刊,DOI 或 URL,文献类型,被引次数,与本问题相关的要点
Exploring androgen receptor signaling pathway in prostate cancer: A path to new discoveries,Daisuke Obinata; Ken‐ichi Takayama; Satoshi Inoue; Satoru Takahashi,2024,International Journal of Urology,10.1111/iju.15424,综述,33,Obinata 等综述去势抵抗性前列腺癌中雄激素受体过表达、剪接变异、错义突变、糖皮质激素受体及共调节因子改变，认为细胞仍可依赖该通路存活。
Advancements in Research on Non-AR- Signaling Pathways and Targeted Therapies for Castration-Resistant Prostate Cancer,Haq Dad; Aaron Hansen,2024,annals of urologic oncology,10.32948/auo.2024.12.25,综述,0,Dad 等综述去势抵抗性前列腺癌中非雄激素受体通路，点名 PI3K-Akt-mTOR、Wnt、Hippo、Hedgehog、Notch、HOXB13 与 Jak2-Stat5a/b。
PTEN‐PI3K pathway alterations in advanced prostate cancer and clinical implications,Atish D. Choudhury,2022,The Prostate,10.1002/pros.24372,综述,65,Choudhury 综述晚期前列腺癌中 PTEN 缺失驱动 PI3K/AKT/mTOR 改变；通路抑制剂单药活性有限，毒性来自正常组织依赖，需联合与生物标志物选择。
AR-V7 and Resistance to Enzalutamide and Abiraterone in Prostate Cancer,Emmanuel S. Antonarakis; Changxue Lu; Hao Wang; Brandon Luber; Mari Nakazawa; Jeffrey C. Roeser; 等,2014,New England Journal of Medicine,10.1056/NEJMoa1315815,期刊论文,2731,Antonarakis 等在转移性去势抵抗性前列腺癌循环肿瘤细胞中检出 AR-V7 后，恩扎卢胺或阿比特龙的前列腺特异抗原应答为 0，无进展与总生存更短。
Androgen receptor splice variants drive castration-resistant prostate cancer metastasis by activating distinct transcriptional programs,Dong Han; Maryam Labaf; Yawei Zhao; Jude Owiredu; Songqi Zhang; Krishna Patel; 等,2024,Journal of Clinical Investigation,10.1172/JCI168649,期刊论文,48,Han 等报告去势条件下 AR-V7 而非全长受体诱导成骨性骨病变，开放紧缩染色质中的雄激素反应元件并上调 SOX9；Ser81 磷酸化增强其促转移程序。
"CBP/p300, a promising therapeutic target for prostate cancer",Hongtao Xu; Yifan Hou; Zhenhua Zhao; Jianhua Zhang; Pan Li; Yujia Cao; Xiaobo Nie; Junqing Hou,2025,Journal of Translational Medicine,10.1186/s12967-025-07053-6,综述,7,Xu 等综述 CBP/p300 通过对雄激素受体、Wnt、p53、PI3K/AKT 与丝裂原活化蛋白激酶相关转录因子乙酰化促进前列腺癌及去势抵抗，并讨论结构域抑制剂与降解剂。
Oxidative stress reactivates androgen receptor signaling via USP36 to drive castration resistance in prostate cancer,Changhui Fan; Zhiheng Huang; Junfeng Gao; Yu‐Long Gu; Ning Wang; Bo Zhou,2025,Scientific Reports,10.1038/s41598-025-25964-8,期刊论文,1,Fan 等报告低剂量过氧化氢经 USP36 与雄激素受体结合并去泛素化稳定受体，激活前列腺特异抗原转录，敲低 USP36 可取消该激活。
"Targeting the PI3K/AKT/mTOR signaling pathway in prostate cancer: Molecular dysregulation, therapeutic advances, and future directions",Saad Alobid,2026,Saudi Pharmaceutical Journal,10.1007/s44446-025-00056-w,综述,5,Alobid 综述前列腺癌中 PTEN 突变或缺失及 PI3K/AKT/mTOR 过度激活，并讨论变构或三磷酸腺苷竞争性 AKT 抑制剂、亚型选择性 PI3K 抑制剂与各代 mTOR 抑制剂的联合策略；试验结论尚不统一。
"Assessments of prostate cancer cell functions highlight differences between a pan‐ PI 3 K /m TOR inhibitor, gedatolisib, and single‐node inhibitors of the PI 3 K / AKT /m TOR pathway",Adrish Sen; Salmaan Khan; Stefano Rossetti; Aaron Broege; Ian A. MacNeil; Ann DeLaForest; 等,2024,Molecular Oncology,10.1002/1878-0261.13703,期刊论文,10,Sen 等在不同 PTEN/PIK3CA 背景的前列腺癌细胞中比较显示，泛 I 类 PI3K 及 mTORC1/2 抑制剂 gedatolisib 较单节点抑制剂更强抑制增殖、周期、蛋白合成与代谢。
NEIL3 promotes the carcinogenesis of prostate cancer by activating PI3K/Akt/mTOR signaling,Wei Zhang; Zihao Liu; Simeng Wen; Yuan Shao; Zhen Yang; Yong Wang,2025,Discover Oncology,10.1007/s12672-025-02625-w,期刊论文,1,Zhang 等报告 NEIL3 在前列腺癌组织与细胞系过表达并与较差预后相关；敲低后增殖、侵袭与迁移下降，伴随 PI3K/AKT/mTOR 失活，R1881 可部分恢复磷酸化。
